@relation asd

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
146.812806,125,77,1212.767447,0.482937,0.411184,0.253289,-0.00005,0.516463,4.03887,0.001589,0.001353,0.000833,0.52116,0.065307,0.512907,0.000005,0.066829,19.298989,-0.00005,37,0,2,0
18.788294,17,8,23.242641,0.086185,0.077982,0.036697,-0.002504,0.181306,0.064016,0.000395,0.000358,0.000168,0.102725,0.079814,0.025357,0.000002,0.047991,17.987236,-0.002504,37,0,2,0
376.888578,373,54,401.220641,0.724786,0.717308,0.103846,0.001229,1.477644,0.277404,0.001394,0.001379,0.0002,0.152934,0.147697,0.027695,0.000003,0.015293,29.233569,0.001229,26,1,1,0
42.720019,36,23,53.792417,0.12,0.101124,0.064607,0.008284,0.191342,0.135845,0.000337,0.000284,0.000181,0.129349,0.086491,0.060788,0.000001,0.061571,34.303089,0.008284,73,0,2,0
507.745015,339,378,583.33551,0.432123,0.288511,0.321702,-0.001016,0.412315,0.462391,0.000368,0.000246,0.000274,0.088936,0.051956,0.058594,0,0.011347,85.27794,-0.001016,102,1,1,0
79.699435,76,24,83.477652,0.463369,0.44186,0.139535,-0.003208,0.563034,0.180769,0.002694,0.002569,0.000811,0.311934,0.284369,0.089423,0.000016,0.162585,50.473499,-0.003208,65,0,2,0
36.878178,8,36,57.693949,0.07667,0.016632,0.074844,-0.00249,0.137695,0.182538,0.000159,0.000035,0.000156,0.036838,0.017172,0.022591,0,0.004614,17.170811,-0.00249,23,0,2,0
357.87428,357,25,985.70546,0.24445,0.243852,0.017077,-0.000419,1.64974,0.202867,0.000167,0.000167,0.000012,0.234001,0.230735,0.027627,0,0.034846,102.041152,-0.000419,78,1,1,0
54.918121,46,30,61.050398,0.278772,0.233503,0.152284,-0.003707,0.409259,0.268519,0.001415,0.001185,0.000773,0.264307,0.201574,0.131944,0.000007,0.130922,36.737609,-0.003707,54,0,2,0
258.588476,58,252,541.826645,0.028413,0.006373,0.027689,0.000053,0.323934,0.253556,0.000003,0.000001,0.000003,0.064393,0.047728,0.035616,0,0.010235,138.500391,0.000053,155,1,2,0
806.112895,303,747,2583.059891,0.128505,0.048302,0.119082,-0.001623,0.206337,0.631061,0.000021,0.000008,0.000019,0.093047,0.027151,0.082437,0,0.012378,251.320665,-0.001623,463,0,1,0
17.117243,2,17,17.650282,0.065085,0.007605,0.064639,-0.007733,0.0125,0.139484,0.000247,0.000029,0.000246,0.017901,0.001302,0.017547,0.000001,0.002277,0.927803,-0.007733,15,0,1,0
30.083218,11,28,30.940379,0.208911,0.076389,0.194444,0.007621,0.070536,0.18125,0.001451,0.00053,0.00135,0.025924,0.009072,0.023549,0.00001,0.003374,3.707699,0.007621,20,0,2,0
176.002841,176,1,278.379752,0.378501,0.378495,0.002151,0.000637,0.788449,0.103012,0.000814,0.000814,0.000005,0.430181,0.410153,0.049759,0.000002,0.234407,27.567206,0.000637,166,0,2,0
13.601471,4,13,16.990705,0.106261,0.03125,0.101563,-0.005743,0.049391,0.118197,0.00083,0.000244,0.000793,0.019034,0.005967,0.015173,0.000006,0.00245,13.598007,-0.005743,14,0,2,0
20.615528,20,5,28.721349,0.113898,0.110497,0.027624,-0.014449,0.20538,0.146341,0.000629,0.00061,0.000153,0.163354,0.107496,0.079268,0.000003,0.10291,12.2264,-0.014449,41,0,2,0
1283.498344,1282,62,1679.798834,0.562198,0.561542,0.027157,0.000255,1.647236,0.844806,0.000246,0.000246,0.000012,0.171393,0.13747,0.070388,0,0.014469,92.698815,0.000255,64,1,1,0
46.043458,46,2,48.032759,0.044358,0.044316,0.001927,-0.000062,0.210702,0.029321,0.000043,0.000043,0.000002,0.028241,0.026958,0.003922,0,0.00366,29.642699,-0.000062,27,1,1,0
1114.237407,1079,278,1196.909702,0.672037,0.650784,0.167672,0.000296,1.719299,0.436018,0.000405,0.000393,0.000101,0.149515,0.141954,0.035982,0,0.012417,56.229586,0.000296,53,1,1,0
15.033296,1,15,15.414214,0.078298,0.005208,0.078125,0.00042,0.009615,0.146825,0.000408,0.000027,0.000407,0.019357,0.001202,0.01886,0.000002,0.002507,1.673078,0.00042,13,0,2,0
259.470615,229,122,1502.355668,0.049451,0.043644,0.023251,-0.000213,0.516549,0.222416,0.000009,0.000008,0.000004,0.082581,0.065011,0.027757,0,0.010453,253.668615,-0.000213,283,0,1,0
690.446957,206,659,6810.159392,0.053548,0.015976,0.051109,0.000036,2.189364,1.249031,0.000004,0.000001,0.000004,0.416951,0.330596,0.187166,0,0.063904,212.328308,0.000036,356,1,1,0
1068.352002,824,680,1279.368038,0.104423,0.08054,0.066465,-0.000082,0.698023,0.553341,0.00001,0.000008,0.000006,0.12183,0.087603,0.069207,0,0.015374,101.564752,-0.000082,162,0,1,0
86.023253,86,2,91.251408,0.276602,0.276527,0.006431,-0.00045,0.477094,0.06484,0.000889,0.000889,0.000021,0.248155,0.233927,0.032354,0.000003,0.12302,82.4123,-0.00045,85,1,2,0
1341.884123,1258,467,4860.486947,0.112877,0.105821,0.039283,-0.00006,1.478369,0.48724,0.00001,0.000009,0.000003,0.210392,0.186458,0.061647,0,0.026723,323.546799,-0.00006,365,1,1,0
581.055075,320,485,831.652786,0.020694,0.011396,0.017273,-0.000275,0.323559,0.634241,0.000001,0,0.000001,0.104723,0.040565,0.079288,0,0.013167,83.914448,-0.000275,123,1,1,0
452.205705,429,143,589.534471,0.412596,0.391423,0.130474,0.00015,0.509324,0.416751,0.000376,0.000357,0.000119,0.089258,0.064803,0.05317,0,0.011458,117.052126,0.00015,106,0,2,0
66.407831,63,21,73.484753,0.027116,0.025725,0.008575,-0.000259,0.11272,0.038593,0.000011,0.00001,0.000003,0.015445,0.013192,0.004575,0,0.001868,76.846418,-0.000259,61,0,1,0
6,6,0,6,0.057692,0.057692,0,0,0.068543,0,0.000555,0.000555,0,0.008659,0.008659,0,0.000005,0.0011,8.090049,0,11,0,2,0
140.577381,131,51,149.926809,0.659988,0.615023,0.239437,-0.007153,0.825807,0.377706,0.003099,0.002887,0.001124,0.472713,0.413018,0.18732,0.000015,0.241083,46.902986,-0.007153,77,0,1,0
129.294238,29,126,157.987862,0.497286,0.111538,0.484615,-0.014995,0.188596,0.748684,0.001913,0.000429,0.001864,0.415801,0.097003,0.384814,0.000007,0.222782,84.550416,-0.014995,95,0,2,0
235,0,235,236.380654,0.308804,0,0.308804,-0.002835,0.033416,0.84217,0.000406,0,0.000406,0.140006,0.005459,0.139306,0.000001,0.024208,30.847288,-0.002835,44,1,1,0
264.054918,250,85,270.54286,0.9602,0.909091,0.309091,-0.004023,1.38315,0.479396,0.003492,0.003306,0.001124,0.81306,0.747387,0.268487,0.000013,0.484141,31.500965,-0.004023,91,0,2,0
201.099478,21,200,221.391383,0.718212,0.075,0.714286,-0.00385,0.087246,0.713955,0.002565,0.000268,0.002551,0.098014,0.011018,0.090452,0.000009,0.012477,28.191824,-0.00385,36,0,2,0
68.44706,62,29,77.807757,0.011219,0.010162,0.004753,0.000158,0.336142,0.156369,0.000002,0.000002,0.000001,0.220904,0.169086,0.08622,0,0.125367,70.948107,0.000158,89,1,1,0
170.847886,65,158,186.466932,0.23696,0.090153,0.21914,-0.002343,0.102391,0.253746,0.000329,0.000125,0.000304,0.036841,0.012659,0.03145,0,0.004605,21.463774,-0.002343,76,1,2,0
11.18034,5,10,16.414214,0.054273,0.024272,0.048544,0.016208,0.071131,0.091369,0.000263,0.000118,0.000236,0.058471,0.029368,0.029685,0.000001,0.025295,7.410112,0.016208,28,0,2,0
21.540659,20,8,27.414214,0.019476,0.018083,0.007233,-0.000099,0.160284,0.056738,0.000018,0.000016,0.000007,0.098922,0.077849,0.022459,0,0.055875,25.925234,-0.000099,47,0,1,0
24.041631,23,7,27.478709,0.086481,0.082734,0.02518,-0.008341,0.302037,0.1,0.000311,0.000298,0.000091,0.164256,0.135773,0.045833,0.000001,0.078343,17.959224,-0.008341,30,0,2,0
265.152786,265,9,1283.472683,0.278522,0.278361,0.009454,-0.001518,1.452714,1.873512,0.000293,0.000292,0.00001,0.312906,0.181927,0.234313,0,0.039214,20.613294,-0.001518,64,1,2,0
962.466103,671,690,2865.496683,0.176567,0.123097,0.126582,0.000521,1.509567,0.513136,0.000032,0.000023,0.000023,0.231802,0.205843,0.070923,0,0.033504,130.464789,0.000521,218,1,1,0
103.077641,80,65,109.666093,0.018799,0.014591,0.011855,-0.002308,0.199664,0.172457,0.000003,0.000003,0.000002,0.03581,0.025864,0.022651,0,0.004824,56.927777,-0.002308,48,0,1,0
243.312556,199,140,247.762815,0.670283,0.548209,0.385675,-0.001546,1.520192,1.076923,0.001847,0.00151,0.001062,0.946263,0.758714,0.538462,0.000005,0.472865,14.002091,-0.001546,65,0,2,0
28.425341,18,22,37.656854,0.174389,0.110429,0.134969,-0.024453,0.151786,0.203869,0.00107,0.000677,0.000828,0.188797,0.080605,0.116691,0.000007,0.119353,50.682187,-0.024453,56,0,2,0
368.58242,158,333,606.843348,0.17901,0.076736,0.161729,-0.001358,0.314051,0.493901,0.000087,0.000037,0.000078,0.080747,0.040937,0.064304,0,0.010668,13.124675,-0.001358,124,1,1,0
86.977008,86,13,296.454274,0.045995,0.045479,0.006875,-0.002159,0.197964,0.615531,0.000024,0.000024,0.000004,0.125033,0.041522,0.115987,0,0.050016,27.426189,-0.002159,62,1,1,0
37.161808,34,15,43.727922,0.194564,0.17801,0.078534,0.028453,0.241525,0.110169,0.001019,0.000932,0.000411,0.151989,0.115937,0.051083,0.000005,0.08073,48.055717,0.028453,59,0,2,0
699.643481,699,30,988.348262,0.779982,0.779264,0.033445,0.001064,1.714702,0.226267,0.00087,0.000869,0.000037,0.265207,0.253468,0.032076,0.000001,0.042976,47.423685,0.001064,75,1,2,0
32.388269,5,32,44.554701,0.181957,0.02809,0.179775,0.002498,0.105674,0.181887,0.001022,0.000158,0.00101,0.031433,0.01288,0.022451,0.000006,0.003971,17.545776,0.002498,21,0,2,0
67.067131,67,3,115.617139,0.040622,0.040581,0.001817,-0.000425,0.133672,0.154857,0.000025,0.000025,0.000001,0.028524,0.016997,0.020404,0,0.003826,23.478791,-0.000425,63,0,1,0
261.047888,5,261,268.595129,0.205711,0.00394,0.205674,0.000108,0.042286,0.535519,0.000162,0.000003,0.000162,0.045235,0.003453,0.044075,0,0.003732,14.829867,0.000108,40,0,1,0
422.848673,140,399,453.940044,0.275292,0.091146,0.259766,-0.000412,0.179008,0.48074,0.000179,0.000059,0.000169,0.067524,0.022639,0.060936,0,0.008627,84.187964,-0.000412,106,1,1,0
217.349948,204,75,258.533081,0.876411,0.822581,0.302419,-0.001352,1.261232,0.509511,0.003534,0.003317,0.001219,0.717533,0.654014,0.266852,0.000014,0.393542,73.47378,-0.001352,92,0,2,0
237.406824,191,141,304.251656,0.688136,0.553623,0.408696,-0.000771,0.6107,0.732219,0.001995,0.001605,0.001185,0.121923,0.076605,0.09201,0.000006,0.015381,16.027496,-0.000771,39,0,1,0
256.425428,123,225,265.332535,1.465288,0.702857,1.285714,-0.017085,0.734314,1.361765,0.008373,0.004016,0.007347,0.863469,0.391095,0.741912,0.000048,0.504896,14.345127,-0.017085,85,0,2,0
632.291863,623,108,1381.048016,0.326597,0.321798,0.055785,0.000562,0.516292,0.797766,0.000169,0.000166,0.000029,0.140222,0.064482,0.100096,0,0.01759,25.760411,0.000562,154,0,2,0
121.34249,120,18,788.456125,0.041785,0.041322,0.006198,-0.001268,0.560765,0.719627,0.000014,0.000014,0.000002,0.261094,0.136418,0.215317,0,0.174317,0,-0.001268,119,1,1,0
50.566788,46,21,55.254721,0.263369,0.239583,0.109375,-0.004847,0.274235,0.123724,0.001372,0.001248,0.00057,0.041342,0.034579,0.015523,0.000007,0.005229,5.891565,-0.004847,21,0,2,0
234.341631,210,104,243.928418,0.360526,0.323077,0.16,0.000439,0.874317,0.430814,0.000555,0.000497,0.000246,0.502566,0.434087,0.213865,0.000001,0.250215,175.160497,0.000439,118,1,1,0
