@relation vegleges

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
631.693755,126,619,998.689079,0.017077,0.003406,0.016734,0.000041,0.188556,0.478642,0,0,0,0.095091,0.03425,0.083108,0,0.018341,0,0.000041,290,1,1,0
102.961158,101,20,163.611021,0.021172,0.020769,0.004113,-0.003757,0.079343,0.04923,0.000004,0.000004,0.000001,0.014946,0.010314,0.006361,0,0.002006,141.605547,-0.003757,167,0,2,0
1081.95425,825,700,2284.792397,0.016293,0.012423,0.010541,0.000026,0.349971,0.222701,0,0,0,0.060796,0.045299,0.028468,0,0.007931,96.248641,0.000026,600,1,1,0
0,0,0,10319.27761,0,0,0,0.000011,0.771451,0.162268,0,0,0,0.10458,0.09705,0.020302,0,0.013203,786.005432,0.000011,1535,1,1,0
406.020935,402,57,464.193886,0.304364,0.301349,0.042729,0.001237,0.862425,0.198858,0.000228,0.000226,0.000032,0.121031,0.112043,0.025537,0,0.0159,9.919206,0.001237,63,1,1,0
7.211103,6,4,365.14904,0.002897,0.002411,0.001607,-0.000228,0.182858,0.11167,0.000001,0.000001,0.000001,0.029378,0.022684,0.013573,0,0.003663,91.292785,-0.000228,179,0,2,0
10.630146,7,8,165.377149,0.007222,0.004755,0.005435,-0.000936,0.16307,0.291297,0.000005,0.000003,0.000004,0.043134,0.020342,0.036444,0,0.005409,12.347399,-0.000936,59,1,1,0
95.336247,95,8,1263.274435,0.003543,0.003531,0.000297,-0.000637,0.178656,0.423153,0,0,0,0.064121,0.022852,0.053946,0,0.008411,8.42184,-0.000637,311,0,1,0
34.525353,6,34,1504.273418,0.003857,0.00067,0.003798,-0.000207,0.266311,0.578449,0,0,0,0.058602,0.023143,0.05147,0,0.005344,34.367281,-0.000207,187,0,1,0
275.036361,246,123,971.374771,0.090413,0.080868,0.040434,-0.00039,0.580684,0.122,0.00003,0.000027,0.000013,0.079596,0.074608,0.015685,0,0.010339,131.226463,-0.00039,198,0,2,0
